blomen_essential,gene
FALSE,Adcy1
FALSE,Hnf4g
FALSE,En2
TRUE,Ywhaz
FALSE,Fzd6
FALSE,Abca1
FALSE,Ptchd1
FALSE,Pcdh19
FALSE,Hdx
TRUE,Vcp
FALSE,Wrn
FALSE,Tshr
FALSE,Cfl2
FALSE,Phox2a
FALSE,Mbl2
FALSE,Pknox2
FALSE,Ttc8
FALSE,Tmem63c
TRUE,Otx2
FALSE,Sohlh1
FALSE,Nsd1
FALSE,Ret
TRUE,Isca2
FALSE,Slc6a5
FALSE,Cacnb2
FALSE,Kcnc2
FALSE,Spred1
FALSE,Ndufb8
FALSE,Fbn1
FALSE,Avpr1a
FALSE,Opn1mw
FALSE,Gabrb3
FALSE,Arih1
TRUE,Cox11
FALSE,Idh3a
FALSE,Galr1
FALSE,Mc4r
FALSE,Chrna7
FALSE,Htr3a
FALSE,Ppib
FALSE,Clpx
FALSE,Cacng2
FALSE,Smad3
FALSE,Mapre2
FALSE,Nkx3-1
FALSE,Tef
FALSE,Pbx3
FALSE,Gprc5b
FALSE,Nod2
FALSE,Cd3d
FALSE,Stim1
FALSE,Or51e2
FALSE,Zfp612
FALSE,Gpx4
FALSE,Ankrd11
FALSE,Tuba1a
FALSE,Axl
FALSE,Trappc9
FALSE,Atcay
TRUE,Eef2
FALSE,Srr
FALSE,Ndufv1
FALSE,Caskin1
TRUE,Srrm2
FALSE,Fth1
FALSE,Bscl2
FALSE,Ctnnb1
FALSE,Ulk4
FALSE,Lmbrd1
FALSE,Ptf1a
FALSE,Foxi1
FALSE,Kif5c
FALSE,Thap11
FALSE,Pdhb
FALSE,Irf2
FALSE,Cx3cr1
TRUE,Cdc40
FALSE,Slc20a2
FALSE,Stat3
FALSE,Mff
FALSE,Grm5
FALSE,Cplx1
TRUE,Uqcrfs1
FALSE,Map2k1
FALSE,Irs1
FALSE,Mecp2
FALSE,Ror2
FALSE,Ar
FALSE,Cpt1c
FALSE,Adrb2
FALSE,Kcnab1
FALSE,P2ry12
TRUE,Sin3a
FALSE,Scn9a
FALSE,Zeb2
FALSE,Antxr1
FALSE,Drd5
FALSE,Chrna5
FALSE,Lingo1
FALSE,Tacr3
FALSE,Ctnnd2
FALSE,Otud7a
FALSE,Klf13
FALSE,Frmpd4
FALSE,Zfpm2
FALSE,Nlgn2
FALSE,Ywhag
FALSE,Nipa1
FALSE,Chrnb1
TRUE,Prdm10
FALSE,Smad1
FALSE,Sp7
FALSE,Lrrn2
FALSE,Zfp804a
FALSE,Cd14
TRUE,Arl6ip1
FALSE,Cdh2
FALSE,Stat2
FALSE,Sgcd
FALSE,Fshr
FALSE,Paqr8
FALSE,Tanc2
FALSE,Zfp160
FALSE,Hs6st2
FALSE,Alk
FALSE,Insr
FALSE,Zfp692
FALSE,Grik1
FALSE,Tmem126a
FALSE,Gaa
FALSE,Chd7
FALSE,Clcn5
FALSE,Kcnd3
FALSE,Neurod2
FALSE,Map6
FALSE,Dscam
TRUE,Bptf
FALSE,Gphn
FALSE,Camta1
FALSE,Pah
TRUE,Bcl2
FALSE,Pten
FALSE,Prnp
FALSE,Frmd5
FALSE,Klf11
FALSE,Atoh1
FALSE,Bsg
FALSE,Arnt2
FALSE,Pde3a
FALSE,Purg
FALSE,Rarg
FALSE,Phf8
FALSE,Lrrn3
FALSE,Esrra
FALSE,Adcy5
FALSE,Iqcb1
FALSE,Zkscan16
FALSE,Zbtb21
FALSE,Dag1
TRUE,Naa20
FALSE,Smarcc1
FALSE,Ptprm
FALSE,Cspg4
FALSE,Chd2
FALSE,Uqcrh
FALSE,Stat5b
FALSE,Hap1
FALSE,Lemd3
FALSE,Pitpna
TRUE,Ddx23
FALSE,Zhx3
FALSE,Trhr
TRUE,Atp2a2
FALSE,Cntnap2
TRUE,Msl2
FALSE,Brsk2
FALSE,Nr1d2
FALSE,Hras
FALSE,Fzd4
FALSE,Glmn
FALSE,Ndufa11
FALSE,Rsrc1
FALSE,P2ry14
FALSE,Zic4
FALSE,Klc2
TRUE,Atr
FALSE,Zfp654
FALSE,Pacs1
FALSE,Cadm2
FALSE,Pcca
FALSE,Prop1
FALSE,Chrna7
FALSE,Smad2
FALSE,Mlxip
FALSE,Nr2f1
FALSE,Baiap2
FALSE,Foxg1
FALSE,Sphk1
FALSE,Lrrtm4
FALSE,Cox8a
FALSE,Foxl1
FALSE,Foxc2
FALSE,Grin1
FALSE,Sox11
FALSE,Deaf1
FALSE,Six5
FALSE,Kcna2
FALSE,Zbtb38
FALSE,Hic1
TRUE,Tgif1
FALSE,Nr2c2
FALSE,Tbl1xr1
FALSE,Samd12
FALSE,Il17ra
FALSE,Agtrap
TRUE,Ndufv2
FALSE,Dalrd3
FALSE,Plec
FALSE,Slitrk1
FALSE,Htr1a
FALSE,Erbb4
FALSE,Maf
FALSE,Csrnp3
FALSE,Thbd
FALSE,Cox5a
FALSE,Zbtb7a
FALSE,Cyc1
FALSE,Htr1f
FALSE,Hes7
FALSE,Hnrnpc
FALSE,Zfp664
FALSE,Ptpn11
FALSE,Gata2
FALSE,Pacs2
FALSE,Zbtb18
FALSE,Grm8
FALSE,Zbtb42
FALSE,Lrrc3b
FALSE,Nrxn1
FALSE,F2
FALSE,Alx1
TRUE,Fzd2
FALSE,Zfp609
FALSE,Pak2
FALSE,Agtr2
FALSE,Zfp961
FALSE,Cxcr2
FALSE,Ssr4
FALSE,Oxtr
FALSE,Chrm2
TRUE,Ehmt1
FALSE,Zfp322a
FALSE,Sox2
TRUE,Setd2
FALSE,Zbtb20
TRUE,Copg1
FALSE,Slc9a9
FALSE,Unc5c
FALSE,Rgma
FALSE,Ext1
TRUE,Atp6ap2
FALSE,Ube2e2
FALSE,Gabrg3
FALSE,Ap1s2
FALSE,Cacnb4
FALSE,Trappc6b
FALSE,Tshz2
FALSE,Satb1
FALSE,Csf1r
FALSE,Trak1
FALSE,Plcb1
FALSE,Ndn
FALSE,Kcnb2
FALSE,Rgs6
FALSE,Paqr7
FALSE,Mafa
FALSE,Grid1
FALSE,Glud1
FALSE,Abat
FALSE,Nkx2-5
FALSE,Gpc6
FALSE,Epha10
FALSE,Tango2
FALSE,Figla
FALSE,Tbk1
FALSE,Kremen1
FALSE,Foxl2
FALSE,Kctd16
FALSE,Kctd8
FALSE,Btbd9
FALSE,Actg1
FALSE,Dennd5a
FALSE,Tbx1
FALSE,Kcnq3
FALSE,Pou6f1
FALSE,Six6
FALSE,Ccser1
FALSE,Zfp1
FALSE,Pde4b
TRUE,Med12
FALSE,Atl3
FALSE,Ndufa12
FALSE,Wt1
TRUE,Ndufa6
FALSE,Robo2
FALSE,Hsf1
FALSE,Pura
FALSE,Npy2r
FALSE,Mc2r
FALSE,Gp1ba
FALSE,Ror1
FALSE,Irf7
FALSE,Nr2f2
FALSE,Pbx1
FALSE,Brwd1
FALSE,Ankfy1
FALSE,Nrg3
FALSE,Kcnq5
FALSE,Slc52a2
FALSE,Pcyt2
FALSE,Bcap31
TRUE,Atp6v0c
FALSE,Ptch1
TRUE,Rnpc3
FALSE,Wwox
FALSE,Gabra5
FALSE,Rxra
FALSE,Pclo
FALSE,Myt1l
TRUE,Nf2
FALSE,Foxe3
FALSE,Zfp397
FALSE,Tnfrsf4
FALSE,Mapt
FALSE,Zdhhc17
FALSE,Cck
FALSE,Mitf
FALSE,Dync2h1
FALSE,Npsr1
FALSE,Epor
FALSE,Dcc
FALSE,Magi2
TRUE,Chp1
FALSE,Col4a1
FALSE,Zkscan3
FALSE,Gabrd
FALSE,Sema4d
FALSE,P2rx2
FALSE,Mesp2
FALSE,Agrn
FALSE,Nhs
FALSE,Tubb4b
FALSE,Slc24a5
FALSE,Col25a1
FALSE,Nkain2
FALSE,Dpyd
FALSE,Fzd9
FALSE,Adrb3
FALSE,Zfp961
FALSE,Nyx
FALSE,Zfp292
FALSE,Ndufa4
FALSE,Reln
FALSE,Litaf
FALSE,Arid2
FALSE,Hmgb1
FALSE,Il1rap
FALSE,Ptprt
FALSE,Pax5
FALSE,Tmem63a
FALSE,Srgap3
TRUE,Tubb5
FALSE,Grm7
FALSE,Nlgn3
TRUE,Lonp1
TRUE,Trrap
FALSE,Ptpn1
FALSE,Ephb4
FALSE,Zfp961
FALSE,Esrrg
FALSE,Tpk1
FALSE,Myo6
FALSE,Zfp846
FALSE,Tcf4
TRUE,Wnk3
FALSE,Tlr7
FALSE,Trpv1
FALSE,Nf1
FALSE,Zfp961
FALSE,Pou3f4
FALSE,Cd47
FALSE,Chrng
FALSE,Scn8a
FALSE,Zfp398
FALSE,Zfp961
FALSE,Mafg
FALSE,Igf2r
TRUE,Dync1h1
FALSE,Slc6a17
FALSE,Syngap1
FALSE,Adarb1
FALSE,Htt
FALSE,Zfp160
FALSE,Myo5a
FALSE,Pign
TRUE,Far1
FALSE,Zfp961
FALSE,Sptan1
FALSE,Psap
FALSE,Zfp961
FALSE,Zfp961
FALSE,Vps13a
FALSE,Avpr1b
FALSE,Cd2ap
FALSE,Tfdp1
FALSE,Qrich1
FALSE,Peg3
FALSE,Zfp961
FALSE,Spred2
FALSE,Gfpt1
FALSE,Ntrk1
FALSE,Atl1
TRUE,Ddx39b
FALSE,Lrba
FALSE,Zfp536
FALSE,Stk39
FALSE,Calm1
FALSE,Dll1
FALSE,Unc13b
FALSE,Lrrtm3
FALSE,Grin3a
TRUE,Mtor
FALSE,Scamp5
FALSE,Zfp521
FALSE,Lrig2
FALSE,Cd247
FALSE,Grm3
FALSE,Champ1
TRUE,Opa1
FALSE,Ryr3
FALSE,Cd3e
FALSE,Rusc2
FALSE,L1cam
FALSE,Srebf2
FALSE,Pou3f3
FALSE,Nos1ap
FALSE,Dmd
FALSE,Rorb
FALSE,Fcgr4
FALSE,Gdi1
FALSE,Sox18
FALSE,Gigyf2
FALSE,Bmpr2
FALSE,Rxrb
FALSE,Notch4
FALSE,Ager
FALSE,Mbd5
TRUE,Csnk2b
FALSE,Pou5f1
FALSE,Gabbr1
FALSE,Atxn2
TRUE,Dctn1
FALSE,Zbtb10
FALSE,Lgr4
FALSE,E2f4
TRUE,Dnajc19
FALSE,Chuk
TRUE,Ndufs3
FALSE,Klrk1
FALSE,Irf9
TRUE,Lyrm4
FALSE,Bbip1
TRUE,Ddx3x
FALSE,Gcgr
FALSE,Fnip1
FALSE,Ebf2
FALSE,Ppp3r1
FALSE,Plxna4
TRUE,Mcts1
FALSE,Twist2
FALSE,Tlr9
FALSE,Mif
FALSE,Il10rb
TRUE,Nfs1
FALSE,Fmn1
FALSE,Chchd10
FALSE,Gpr162
FALSE,Eif5a
TRUE,Fntb
FALSE,Cux1
FALSE,Tubb3
FALSE,Gtf2i
FALSE,Strada
FALSE,S1pr2
FALSE,Opn1mw
FALSE,Cyfip1
FALSE,Adra2b
FALSE,Hnf1b
FALSE,Dach1
FALSE,Gpr179
FALSE,Marcks
TRUE,Matr3
TRUE,Tbce
TRUE,Sod2
