blomen_essential,gene
FALSE,Tcf20
FALSE,Timp3
FALSE,Nefh
FALSE,Tnrc6b
FALSE,Il2rb
FALSE,Ep300
TRUE,Aco2
FALSE,Brd1
FALSE,Ap4s1
FALSE,Sos2
FALSE,Nin
FALSE,Ddhd1
FALSE,Sptlc2
FALSE,Hif1a
FALSE,Dicer1
FALSE,Zc3h14
TRUE,Psmc1
TRUE,Yy1
FALSE,Trip11
FALSE,Chd8
FALSE,Sec23a
FALSE,Vsx1
FALSE,Abhd12
FALSE,Cd40
TRUE,Zmynd8
FALSE,Hnf4a
FALSE,Sall4
FALSE,Adnp
FALSE,Dnajc5
TRUE,Prpf6
FALSE,Ntsr1
FALSE,Chrna4
FALSE,Ndufaf5
FALSE,Kif3b
TRUE,Nop56
FALSE,Snta1
FALSE,E2f1
TRUE,Chmp4b
FALSE,Slc32a1
FALSE,Cst3
FALSE,Map1lc3a
FALSE,Smchd1
FALSE,Ankrd12
FALSE,Mib1
TRUE,Cstf2
FALSE,Tbl1x
FALSE,Pgrmc1
TRUE,Pola1
FALSE,Tlr8
FALSE,Ammecr1
FALSE,Glra2
FALSE,Xiap
TRUE,Stag2
FALSE,Atp11c
FALSE,Syp
TRUE,Naa10
FALSE,Opn1mw
FALSE,Fmr1
TRUE,Pgk1
FALSE,Gata1
FALSE,Sms
FALSE,Nalcn
FALSE,Fgf14
TRUE,Kpna3
FALSE,Phkb
TRUE,Nup93
TRUE,Nfat5
FALSE,Arl2bp
FALSE,Zfp423
TRUE,Ctcf
TRUE,Cog4
FALSE,Smpd3
TRUE,Slc7a6os
FALSE,Tsc2
FALSE,Stub1
FALSE,Sall1
FALSE,Xylt1
FALSE,Rpgrip1l
FALSE,Bckdk
FALSE,Il21r
FALSE,Herc1
FALSE,Ap3b2
FALSE,Homer2
FALSE,Zfp106
FALSE,Dmxl2
FALSE,Myef2
FALSE,Cspp1
FALSE,Fzd3
FALSE,Trpa1
FALSE,Gdap1
FALSE,Stmn2
FALSE,Trps1
FALSE,Nefm
FALSE,Asah1
FALSE,Tubb4a
TRUE,Snrnp70
FALSE,Relb
FALSE,Trmt1
FALSE,Gpi1
FALSE,Pld3
FALSE,Cd79a
FALSE,Crx
FALSE,Atp1a3
FALSE,Grin2d
TRUE,Ppp2r1a
FALSE,Klf1
FALSE,Mast1
FALSE,Pik3r2
FALSE,Scn1b
FALSE,Erf
FALSE,Grik5
FALSE,Sipa1l3
FALSE,Sp4
FALSE,Dlx5
TRUE,Ogdh
FALSE,Met
FALSE,Lmbr1
FALSE,Hoxa1
FALSE,Dnajb6
FALSE,Hoxa3
FALSE,Tspan12
FALSE,Hoxa13
FALSE,Chchd2
FALSE,Zkscan1
FALSE,Pax4
TRUE,Rbm28
FALSE,Nobox
TRUE,Nrf1
FALSE,Tmem106b
FALSE,Mest
FALSE,Pou6f2
FALSE,Ahr
FALSE,Gli3
